DATE,TAVG,TMAX,TMIN
Jan-91,4.98,8.08,1.87
Feb-91,6.56,10.11,3.02
Mar-91,8.92,12.08,5.76
Apr-91,14.1,18.21,10
May-91,20.02,24,16.04
Jun-91,24.53,27.62,21.45
Jul-91,28.83,32.25,25.41
Aug-91,27.44,30.52,24.35
Sep-91,24.47,27.71,21.22
Oct-91,18.6,22.82,14.39
Nov-91,12.87,17.39,8.34
Dec-91,7.96,11.64,4.27
Jan-92,5.14,9.01,1.26
Feb-92,7.41,11.78,3.04
Mar-92,8.84,11.51,6.17
Apr-92,15.85,20.58,11.13
May-92,21.05,25.52,16.59
Jun-92,23.53,27.15,19.91
Jul-92,28.65,32.56,24.75
Aug-92,28.02,30.95,25.09
Sep-92,24.78,27.71,21.85
Oct-92,17.92,22.11,13.73
Nov-92,12.25,16.85,7.65
Dec-92,8.74,12.28,5.21
Jan-93,3.88,7.09,0.67
Feb-93,7.89,12.2,3.59
Mar-93,9.23,12.82,5.63
Apr-93,15.23,19.08,11.37
May-93,19.48,23.28,15.68
Jun-93,25.42,29.24,21.6
Jul-93,27.47,30.56,24.37
Aug-93,27.17,30.13,24.2
Sep-93,24.59,28.15,21.04
Oct-93,18.7,22.27,15.14
Nov-93,13.88,17.44,10.31
Dec-93,6.5,10.53,2.48
Jan-94,5.52,8.78,2.26
Feb-94,5.87,8.61,3.13
Mar-94,9.46,13.23,5.69
Apr-94,16.39,19.94,12.84
May-94,22.74,27.02,18.45
Jun-94,25.17,28.52,21.83
Jul-94,31.05,34.72,27.38
Aug-94,29.34,32.33,26.36
Sep-94,24.64,28.47,20.82
Oct-94,19.45,23.19,15.71
Nov-94,16.17,19.61,12.72
Dec-94,9.88,12.49,7.27
Jan-95,5.65,9.18,2.13
Feb-95,6.47,10.14,2.8
Mar-95,10.97,15.06,6.87
Apr-95,14.74,18.33,11.15
May-95,20.1,24.12,16.07
Jun-95,23.67,26.67,20.67
Jul-95,28.87,32.06,25.67
Aug-95,29.75,33.28,26.21
Sep-95,25.71,29.17,22.25
Oct-95,19.78,22.95,16.62
Nov-95,12.62,16.94,8.29
Dec-95,6.98,10.81,3.15
Jan-96,5.34,8.73,1.95
Feb-96,5.33,9.22,1.45
Mar-96,8.85,12.17,5.53
Apr-96,13.91,18.12,9.71
May-96,20.59,24.54,16.64
Jun-96,25.63,29.5,21.76
Jul-96,27.93,31.1,24.75
Aug-96,28.95,32.23,25.68
Sep-96,25.96,29.1,22.81
Oct-96,20.24,23.5,16.98
Nov-96,14.13,17.38,10.88
Dec-96,7.84,12.46,3.22
Jan-97,4.75,8.12,1.39
Feb-97,7.41,11.14,3.69
Mar-97,11.55,14.78,8.32
Apr-97,16.38,20.79,11.97
May-97,23.15,27.89,18.4
Jun-97,25.72,29.44,21.99
Jul-97,28.4,31.47,25.33
Aug-97,28.16,30.97,25.35
Sep-97,23.87,27.29,20.46
Oct-97,20.29,24.55,16.03
Nov-97,14.22,18.03,10.4
Dec-97,8.25,11.09,5.42
Jan-98,5.23,8.71,1.76
Feb-98,8.5,12.18,4.82
Mar-98,10.18,13.33,7.04
Apr-98,18.51,23.08,13.93
May-98,21.26,24.85,17.66
Jun-98,24.52,27.61,21.43
Jul-98,30.36,34.25,26.48
Aug-98,30.47,34.23,26.71
Sep-98,24.83,28.23,21.42
Oct-98,21.2,24.49,17.92
Nov-98,16.38,20.44,12.32
Dec-98,9.84,13.69,5.99
1991-01,5.05,7.43,2.66
1991-02,6.19,9.01,3.36
1991-03,8.63,11.34,5.93
1991-04,13.57,16.93,10.21
1991-05,19.45,23.05,15.84
1991-06,24.41,27.52,21.3
1991-07,28.35,31.43,25.28
1991-08,26.95,29.68,24.22
1991-09,24.4,27.14,21.66
1991-10,18.75,22.02,15.48
1991-11,12.9,16.72,9.07
1991-12,7.66,11.03,4.29
1992-01,4.7,7.84,1.56
1992-02,7.07,10.85,3.29
1992-03,8.34,10.81,5.86
1992-04,15.02,19.47,10.57
1992-05,20.34,24.45,16.23
1992-06,22.7,25.78,19.63
1992-07,28.3,31.91,24.69
1992-08,27.23,29.79,24.67
1992-09,24.28,26.76,21.8
1992-10,17.79,21.34,14.23
1992-11,11.89,15.87,7.91
1992-12,8.21,11.59,4.84
1993-01,3.75,6.69,0.81
1993-02,7.24,11.14,3.33
1993-03,9.04,12.39,5.68
1993-04,14.78,18.49,11.06
1993-05,19.04,22.58,15.49
1993-06,24.88,28.37,21.38
1993-07,26.96,29.69,24.24
1993-08,26.5,29.07,23.92
1993-09,24.06,27.05,21.07
1993-10,18.65,21.66,15.64
1993-11,13.64,17.13,10.14
1993-12,6.42,10.1,2.74
1994-01,5.26,8.31,2.22
1994-02,5.78,8.13,3.44
1994-03,9.06,12.58,5.55
1994-04,15.65,18.83,12.48
1994-05,22.47,26.45,18.49
1994-06,24.68,27.53,21.83
1994-07,30.41,33.72,27.11
1994-08,29.11,31.87,26.35
1994-09,24.36,27.66,21.06
1994-10,19.27,22.43,16.1
1994-11,15.98,18.86,13.1
1994-12,9.55,11.95,7.15
1995-01,5.27,8.41,2.13
1995-02,6.11,9.53,2.69
1995-03,10.39,14.03,6.75
1995-04,14.2,17.56,10.84
1995-05,19.75,23.43,16.07
1995-06,23.47,26.24,20.7
1995-07,28.77,31.8,25.75
1995-08,29.5,33.11,25.9
1995-09,25.57,28.57,22.56
1995-10,19.6,22.3,16.9
1995-11,12.24,16.19,8.3
1995-12,6.41,9.83,2.98
1996-01,4.78,7.92,1.64
1996-02,4.99,8.27,1.71
1996-03,8.25,11.41,5.09
1996-04,13.75,17.43,10.06
1996-05,20.22,23.36,17.08
1996-06,24.9,28.04,21.76
1996-07,27.64,30.53,24.75
1996-08,28.37,31.19,25.56
1996-09,25.72,28.32,23.11
1996-10,19.92,22.82,17.03
1996-11,13.73,16.63,10.83
1996-12,7.52,11.4,3.65
1997-01,4.15,6.94,1.37
1997-02,6.77,9.86,3.68
1997-03,10.85,13.57,8.14
1997-04,15.7,19.25,12.15
1997-05,22.85,26.98,18.72
1997-06,25.22,28.4,22.05
1997-07,28.09,30.85,25.32
1997-08,27.97,30.53,25.42
1997-09,23.68,26.56,20.8
1997-10,19.93,23.35,16.51
1997-11,13.88,17.13,10.63
1997-12,8.08,10.49,5.66
1998-01,5.03,7.97,2.09
1998-02,8.04,11.23,4.86
1998-03,9.81,12.51,7.11
1998-04,17.91,21.83,13.98
1998-05,20.71,23.56,17.86
1998-06,24.1,26.67,21.53
1998-07,29.93,33.5,26.36
1998-08,30.07,33.27,26.87
1998-09,24.58,27.2,21.96
1998-10,20.86,23.15,18.56
1998-11,16.44,19.46,13.42
1998-12,9.71,12.72,6.69
1999-01,6.61,9.37,3.85
1999-02,7.93,11.21,4.65
1999-03,10.27,13.02,7.52
1999-04,15.21,18.66,11.76
1999-05,20.96,24.49,17.44
1999-06,22.37,24.84,19.9
1999-07,25.75,27.87,23.63
1999-08,27.36,29.86,24.86
1999-09,26.15,28.78,23.52
1999-10,20.25,22.76,17.73
1999-11,13.35,16.3,10.39
1999-12,7.74,11.1,4.38
2000-01,5.2,7.49,2.9
2000-02,4.49,7.19,1.8
2000-03,10.89,14.19,7.59
2000-04,16.48,20.39,12.57
2000-05,21.88,25.95,17.8
2000-06,25.07,27.97,22.16
2000-07,29.4,32.29,26.51
2000-08,28.54,31.15,25.92
2000-09,24.58,27.22,21.93
2000-10,20.19,22.44,17.93
2000-11,13.35,15.99,10.7
2000-12,9.35,12.13,6.58
2001-01,6.21,9.03,3.39
2001-02,7.14,9.89,4.38
2001-03,11.52,15.78,7.25
2001-04,15.5,18.96,12.03
2001-05,21.13,24.35,17.92
2001-06,24.53,27.17,21.89
2001-07,30.14,33.26,27.03
2001-08,27.27,29.91,24.62
2001-09,25.22,27.56,22.88
2001-10,20.44,23.29,17.6
2001-11,13.88,17.17,10.58
2001-12,7.36,9.93,4.8
2002-01,7.64,11.39,3.89
2002-02,9.06,12.1,6.03
2002-03,13.51,16.82,10.21
2002-04,17.44,20.64,14.23
2002-05,19.85,22.64,17.06
2002-06,25.7,28.52,22.87
2002-07,27.99,30.86,25.13
2002-08,27.8,30.38,25.22
2002-09,25.27,27.85,22.69
2002-10,20.32,23.21,17.43
2002-11,13.33,16.32,10.34
2002-12,8,10.31,5.7
2003-01,4.07,7.56,0.58
2003-02,7,10.08,3.92
2003-03,10.32,13.93,6.71
2003-04,15.72,19.16,12.28
2003-05,20.35,23.47,17.24
2003-06,24.85,28.32,21.38
2003-07,30.03,34.11,25.95
2003-08,29.8,32.89,26.72
2003-09,26.4,29.66,23.13
2003-10,18.85,22.93,14.76
2003-11,14.25,17.58,10.92
2003-12,6.67,10.32,3.02
2004-01,4.39,7.46,1.33
2004-02,9.16,13.5,4.81
2004-03,10.23,13.71,6.75
2004-04,16.49,21.26,11.73
2004-05,21.31,25.38,17.25
2004-06,24.7,27.95,21.46
2004-07,30.2,34.42,25.97
2004-08,29.29,32.42,26.17
2004-09,24.42,27.22,21.63
2004-10,19.24,22.86,15.62
2004-11,14.92,19.05,10.79
2004-12,9.3,12.31,6.3
2005-01,3.59,6.35,0.82
2005-02,4.49,6.75,2.23
2005-03,9.5,14.05,4.95
2005-04,18.17,23.02,13.32
2005-05,21.16,25.1,17.22
2005-06,26.81,30.74,22.87
2005-07,29.75,32.96,26.54
2005-08,28.7,31.6,25.79
2005-09,26.72,29.76,23.69
2005-10,19.2,22.44,15.96
2005-11,15.57,19.05,12.09
2005-12,5.2,8.79,1.6
2006-01,6.09,8.84,3.35
2006-02,5.92,8.73,3.1
2006-03,11.49,16.06,6.92
2006-04,16.87,21.22,12.51
2006-05,21.06,24.69,17.44
2006-06,26.04,29.73,22.36
2006-07,29.78,32.87,26.7
2006-08,30.45,33.58,27.32
2006-09,23.96,26.68,21.23
2006-10,22.25,25.14,19.37
2006-11,15.76,19.25,12.28
2006-12,8.36,11.67,5.04
2007-01,5.8,8.59,3
2007-02,9.91,13.93,5.89
2007-03,12.3,16.04,8.56
2007-04,16.03,20.28,11.77
2007-05,23.21,27.45,18.97
2007-06,25.14,27.7,22.59
2007-07,30.05,33.57,26.54
2007-08,29.87,33.04,26.69
2007-09,25.34,27.81,22.87
2007-10,20.51,23.39,17.63
2007-11,13.87,17.12,10.62
2007-12,9.36,11.8,6.93
2008-01,4.45,6.84,2.07
2008-02,4.18,7.89,0.48
2008-03,11.6,15.76,7.44
2008-04,16.21,19.84,12.57
2008-05,22.01,26.31,17.7
2008-06,24.4,27.11,21.68
2008-07,30.62,34.07,27.16
2008-08,28.76,31.85,25.68
2008-09,26.1,28.84,23.35
2008-10,20.79,23.75,17.84
